location_name,val
China,27.1246951
Democratic People's Republic of Korea,24.9603599
Cambodia,23.965901
Indonesia,33.5056537
Lao People's Democratic Republic,24.6038372
Malaysia,24.9702759
Maldives,24.6904545
Myanmar,25.9356994
Philippines,29.461647600000003
Sri Lanka,14.7000411
Thailand,22.6736895
Timor-Leste,35.048504
Viet Nam,25.2248458
Fiji,29.054572
Kiribati,51.2094609
Marshall Islands,21.8438583
Micronesia (Federated States of),47.8856556
Papua New Guinea,33.389704599999995
Samoa,29.1908139
Solomon Islands,33.524122899999995
Tonga,29.7292314
Vanuatu,25.1217468
Armenia,28.6943178
Azerbaijan,23.6271996
Georgia,27.9756339
Kazakhstan,28.4879382
Kyrgyzstan,23.3527563
Mongolia,28.2164825
Tajikistan,10.7979393
Turkmenistan,18.297979
Uzbekistan,13.5845523
Albania,27.7393195
Bosnia and Herzegovina,38.4367157
Bulgaria,41.1141142
Croatia,35.4815668
Czechia,31.219671700000003
Hungary,36.1976219
Montenegro,39.9913798
Poland,30.2408175
Romania,30.9532695
Serbia,36.4149116
Slovakia,27.9083458
Slovenia,27.6653753
Belarus,32.4692824
Estonia,33.1372748
Latvia,35.1256196
Lithuania,29.7905751
Republic of Moldova,24.4035454
Russian Federation,36.1776914
Ukraine,33.8171921
Brunei Darussalam,16.9449459
Japan,26.811033
Republic of Korea,25.7323723
Singapore,16.588624900000003
Australia,19.7627752
New Zealand,21.8986
Andorra,30.901731
Austria,34.691982
Belgium,27.4762269
Cyprus,35.532599399999995
Denmark,26.163217
Finland,23.4791126
France,33.835051
Germany,29.421038
Greece,43.2084198
Iceland,18.9867704
Ireland,28.0513885
Israel,22.2763029
Italy,26.4448067
Luxembourg,27.8743966
Malta,23.251270700000003
Netherlands,28.4214318
Norway,22.5511233
Portugal,27.6882389
Spain,38.8325928
Sweden,15.5857971
Switzerland,27.7479987
United Kingdom,26.7627462
Argentina,26.6797125
Chile,36.8669355
Uruguay,29.803993
Canada,20.6246787
United States of America,21.1633828
Antigua and Barbuda,8.069269799999999
Bahamas,7.0787434
Barbados,9.9111813
Belize,13.0840933
Cuba,28.840878
Dominica,10.5238752
Dominican Republic,13.7279375
Grenada,11.9879363
Guyana,14.4152315
Haiti,7.3025903
Jamaica,16.0172135
Saint Lucia,13.1246857
Saint Vincent and the Grenadines,12.358991
Suriname,24.181487500000003
Trinidad and Tobago,18.7248169
Bolivia (Plurinational State of),10.3627214
Ecuador,15.6507638
Peru,7.9646471
Colombia,16.732285
Costa Rica,14.5240438
El Salvador,8.9412907
Guatemala,12.707901
Honduras,14.505462
Mexico,19.2764843
Nicaragua,13.2870394
Panama,9.694828
Venezuela (Bolivarian Republic of),18.7148284
Brazil,17.478071200000002
Paraguay,19.6435265
Algeria,16.7924075
Bahrain,14.5411619
Egypt,21.5583469
Iran (Islamic Republic of),15.033934600000002
Iraq,20.6014265
Jordan,29.0617697
Kuwait,23.4629622
Lebanon,34.4284725
Libya,19.5787179
Morocco,12.591707499999998
Oman,9.0480827
Qatar,17.8218375
Saudi Arabia,14.5393914
Syrian Arab Republic,26.148812
Tunisia,25.0158326
Turkey,31.6892645
United Arab Emirates,19.1764501
Yemen,19.6722559
Afghanistan,8.6654342
Bangladesh,24.6889099
Bhutan,9.6539058
India,17.119615699999997
Nepal,29.8462485
Pakistan,18.687021
Angola,9.9952471
Central African Republic,8.2241854
Congo,10.3169288
Democratic Republic of the Congo,10.2975389
Equatorial Guinea,13.0203223
Gabon,11.9815371
Burundi,10.1195075
Comoros,13.7414292
Djibouti,23.8255311
Eritrea,6.4916379
Ethiopia,5.172992
Kenya,12.7845016
Madagascar,14.023381400000002
Malawi,13.3218711
Mauritius,21.8959292
Mozambique,15.1548624
Rwanda,15.0374166
Seychelles,24.2565755
Somalia,11.766177
United Republic of Tanzania,13.711628
Uganda,11.9002442
Zambia,18.3059719
Botswana,20.2618605
Lesotho,18.1964075
Namibia,19.2464079
South Africa,22.6393861
Zimbabwe,16.504407
Benin,7.8679668
Burkina Faso,10.3971843
Cameroon,9.6044692
Cabo Verde,6.747179
Chad,11.7990655
Côte d'Ivoire,14.0524497
Gambia,13.3835097
Ghana,6.163954299999999
Guinea,15.7307417
Guinea-Bissau,3.6050117
Liberia,9.1300771
Mali,12.299781
Mauritania,20.2472187
Niger,8.380842099999999
Nigeria,5.3481739
Sao Tome and Principe,4.9199147
Senegal,11.1588342
Sierra Leone,20.659661
Togo,9.2467019
Cook Islands,31.1082076
Monaco,28.340307
Nauru,45.3223529
Niue,21.217175
Palau,24.5060529
Saint Kitts and Nevis,7.492374799999999
San Marino,22.648269300000003
Tuvalu,31.9782677
South Sudan,12.4798449
Sudan,12.1435871
Swaziland,-
The former Yugoslav Republic of Macedonia,-
