location_name,val
China,50.3715159
Democratic People's Republic of Korea,45.3302647
Cambodia,42.2347994
Indonesia,62.4737068
Lao People's Democratic Republic,46.0960631
Malaysia,42.3421882
Maldives,42.9179483
Myanmar,40.890609
Philippines,43.7872409
Sri Lanka,28.7716066
Thailand,42.0084372
Timor-Leste,64.70119749999999
Viet Nam,47.0344756
Fiji,42.3998191
Kiribati,64.60004219999999
Marshall Islands,34.7848556
Micronesia (Federated States of),62.3019619
Papua New Guinea,40.8501349
Samoa,39.853933600000005
Solomon Islands,51.44472
Tonga,43.8633512
Vanuatu,40.5304707
Armenia,56.511757900000006
Azerbaijan,44.1502862
Georgia,52.0054257
Kazakhstan,46.703164
Kyrgyzstan,43.6505164
Mongolia,50.9741899
Tajikistan,17.7509791
Turkmenistan,28.7629649
Uzbekistan,25.524467
Albania,48.763104
Bosnia and Herzegovina,47.912279000000005
Bulgaria,45.0662006
Croatia,39.7215655
Czechia,35.073185
Hungary,38.1485156
Montenegro,40.761555900000005
Poland,33.5062743
Romania,38.0639532
Serbia,40.2887057
Slovakia,33.2813287
Slovenia,31.1127749
Belarus,48.9404279
Estonia,38.1866354
Latvia,48.5940352
Lithuania,39.8747433
Republic of Moldova,42.3584852
Russian Federation,50.7254749
Ukraine,47.1791911
Brunei Darussalam,27.2325307
Japan,35.9819383
Republic of Korea,43.839493
Singapore,22.5403421
Australia,18.8915479
New Zealand,20.5184777
Andorra,32.860122000000004
Austria,37.666382
Belgium,27.8195704
Cyprus,47.2024037
Denmark,24.6019739
Finland,25.4817056
France,37.0859969
Germany,31.243578900000003
Greece,47.0105974
Iceland,17.0325834
Ireland,25.018367
Israel,27.8592812
Italy,29.0222858
Luxembourg,28.2275632
Malta,26.5281977
Netherlands,27.3064798
Norway,22.0493412
Portugal,34.4916987
Spain,38.2321147
Sweden,12.7072312
Switzerland,30.1968631
United Kingdom,26.5106777
Argentina,30.170934
Chile,37.4264997
Uruguay,31.6442833
Canada,20.2237192
United States of America,22.3396033
Antigua and Barbuda,12.2197237
Bahamas,11.3781693
Barbados,14.5365844
Belize,22.1117503
Cuba,33.830396
Dominica,14.8575841
Dominican Republic,14.817073
Grenada,17.786403200000002
Guyana,24.8839446
Haiti,10.5844713
Jamaica,21.7588643
Saint Lucia,19.6644093
Saint Vincent and the Grenadines,19.9741613
Suriname,35.7743439
Trinidad and Tobago,29.3493911
Bolivia (Plurinational State of),16.7966387
Ecuador,27.827749
Peru,9.199218
Colombia,18.1987808
Costa Rica,17.1854854
El Salvador,16.5188615
Guatemala,21.2896853
Honduras,24.2484016
Mexico,27.4366486
Nicaragua,21.5605171
Panama,12.5685932
Venezuela (Bolivarian Republic of),23.5363384
Brazil,15.9623249
Paraguay,26.2050967
Algeria,31.862794
Bahrain,21.8444448
Egypt,42.2616484
Iran (Islamic Republic of),24.9261316
Iraq,36.2249219
Jordan,48.7780271
Kuwait,34.6877583
Lebanon,45.4154093
Libya,37.6353476
Morocco,23.1132756
Oman,15.5775984
Qatar,22.7371674
Saudi Arabia,23.1030913
Syrian Arab Republic,43.083587
Tunisia,46.5332659
Turkey,43.5773166
United Arab Emirates,21.4779498
Yemen,30.8166337
Afghanistan,16.3047417
Bangladesh,46.337288
Bhutan,14.528043299999998
India,27.917356
Nepal,33.2775431
Pakistan,27.767060500000003
Angola,18.377062
Central African Republic,15.1224903
Congo,20.6187801
Democratic Republic of the Congo,20.5568472
Equatorial Guinea,26.512665400000003
Gabon,21.3193902
Burundi,15.033026799999998
Comoros,23.546805000000003
Djibouti,42.667961
Eritrea,12.2339073
Ethiopia,9.455276
Kenya,19.7162969
Madagascar,25.1526008
Malawi,23.8400359
Mauritius,39.8788456
Mozambique,23.9512383
Rwanda,21.8976249
Seychelles,39.1291854
Somalia,20.5571196
United Republic of Tanzania,21.0976198
Uganda,16.6684416
Zambia,27.2849774
Botswana,33.7302776
Lesotho,39.4678227
Namibia,24.0608016
South Africa,33.9370185
Zimbabwe,32.4934023
Benin,11.429825
Burkina Faso,18.1817334
Cameroon,15.8431305
Cabo Verde,9.1956996
Chad,17.2933557
Côte d'Ivoire,22.8054282
Gambia,23.9324654
Ghana,10.5423857
Guinea,30.7155746
Guinea-Bissau,7.491829
Liberia,13.9549861
Mali,22.4820853
Mauritania,30.0740815
Niger,14.4729485
Nigeria,8.2478792
Sao Tome and Principe,7.728963299999999
Senegal,16.8240713
Sierra Leone,31.6033362
Togo,14.6796656
Cook Islands,37.0347768
Monaco,30.1956981
Nauru,43.8377489
Niue,26.194977
Palau,33.3885641
Saint Kitts and Nevis,10.8205716
San Marino,22.1378214
Tuvalu,44.906792
South Sudan,20.9727345
Sudan,20.5225543
Swaziland,-
The former Yugoslav Republic of Macedonia,-
