location_name,val
China,33.396704
Democratic People's Republic of Korea,24.0719076
Cambodia,25.4625239
Indonesia,28.4533918
Lao People's Democratic Republic,24.3652224
Malaysia,28.0980026
Maldives,29.9816596
Myanmar,38.191326
Philippines,35.3331645
Sri Lanka,23.3433842
Thailand,29.3465601
Timor-Leste,35.3060938
Viet Nam,29.4386182
Fiji,34.0615481
Kiribati,46.9154737
Marshall Islands,21.2150511
Micronesia (Federated States of),46.5430899
Papua New Guinea,36.5350095
Samoa,30.9397634
Solomon Islands,35.0090685
Tonga,33.471825700000004
Vanuatu,25.714545500000003
Armenia,30.5261256
Azerbaijan,21.7749156
Georgia,26.483788800000003
Kazakhstan,28.0797103
Kyrgyzstan,23.7599995
Mongolia,26.0269605
Tajikistan,16.489012
Turkmenistan,22.0268572
Uzbekistan,9.5472688
Albania,24.2299502
Bosnia and Herzegovina,29.9035227
Bulgaria,46.0705347
Croatia,42.0150015
Czechia,36.2524975
Hungary,37.850781100000006
Montenegro,36.6580872
Poland,41.1484427
Romania,34.3247539
Serbia,36.40734
Slovakia,33.7376605
Slovenia,28.2108087
Belarus,34.1311017
Estonia,32.3052987
Latvia,36.9208614
Lithuania,30.2213705
Republic of Moldova,21.9573162
Russian Federation,32.632665100000004
Ukraine,35.554419100000004
Brunei Darussalam,26.6141201
Japan,35.0736107
Republic of Korea,31.2837676
Singapore,20.1061616
Australia,29.302538500000004
New Zealand,28.0081403
Andorra,36.6421187
Austria,35.3890233
Belgium,35.3962407
Cyprus,35.8682984
Denmark,44.6067235
Finland,30.2769695
France,37.9425974
Germany,32.7286293
Greece,43.0031265
Iceland,30.7859208
Ireland,33.6634153
Israel,32.1634387
Italy,32.6755999
Luxembourg,33.911942
Malta,33.846605600000004
Netherlands,40.7778835
Norway,39.5993694
Portugal,28.7121723
Spain,41.2299089
Sweden,24.7034805
Switzerland,33.4036986
United Kingdom,32.5879913
Argentina,30.3640875
Chile,39.5104528
Uruguay,34.0826763
Canada,32.483823699999995
United States of America,26.5693077
Antigua and Barbuda,6.804732199999999
Bahamas,7.450599700000001
Barbados,10.3721398
Belize,13.1752764
Cuba,33.1437674
Dominica,11.1877011
Dominican Republic,13.2445323
Grenada,10.7682624
Guyana,13.9779987
Haiti,11.7739864
Jamaica,17.843398999999998
Saint Lucia,13.860082600000002
Saint Vincent and the Grenadines,12.7583801
Suriname,26.8194474
Trinidad and Tobago,21.0074097
Bolivia (Plurinational State of),13.420680099999998
Ecuador,16.4145753
Peru,8.3252503
Colombia,23.0729064
Costa Rica,21.1297704
El Salvador,7.6011348
Guatemala,14.1054991
Honduras,17.678421999999998
Mexico,30.9920185
Nicaragua,16.882501899999998
Panama,13.9091581
Venezuela (Bolivarian Republic of),26.2337719
Brazil,33.1104899
Paraguay,27.6340456
Algeria,18.8900672
Bahrain,16.77078
Egypt,20.019709
Iran (Islamic Republic of),14.6638837
Iraq,25.768312
Jordan,30.2059413
Kuwait,26.0206506
Lebanon,27.3091055
Libya,22.0143981
Morocco,17.371136800000002
Oman,14.2130636
Qatar,17.356849099999998
Saudi Arabia,10.4381362
Syrian Arab Republic,29.7084961
Tunisia,27.3744957
Turkey,35.8346378
United Arab Emirates,17.1947976
Yemen,20.8063418
Afghanistan,3.1186394
Bangladesh,28.1485916
Bhutan,11.3702707
India,22.517221000000003
Nepal,39.6925297
Pakistan,24.6299147
Angola,12.4647002
Central African Republic,10.8442355
Congo,8.4382895
Democratic Republic of the Congo,11.7117962
Equatorial Guinea,13.3943277
Gabon,10.8521579
Burundi,15.3410143
Comoros,15.0239311
Djibouti,21.7030021
Eritrea,8.1028422
Ethiopia,6.8601678
Kenya,16.7351925
Madagascar,22.0040017
Malawi,13.4865124
Mauritius,26.3494181
Mozambique,15.0030692
Rwanda,14.9948446
Seychelles,25.9066798
Somalia,13.6832757
United Republic of Tanzania,16.188454099999998
Uganda,11.5670797
Zambia,15.6809658
Botswana,23.5521948
Lesotho,16.3489916
Namibia,21.8552102
South Africa,31.8946026
Zimbabwe,18.1278032
Benin,10.1786633
Burkina Faso,11.8482266
Cameroon,11.8496699
Cabo Verde,10.0637306
Chad,13.0205303
Côte d'Ivoire,12.064741
Gambia,18.8841598
Ghana,6.548547200000001
Guinea,16.2195413
Guinea-Bissau,3.9253717
Liberia,9.136842
Mali,9.278445
Mauritania,22.9789665
Niger,6.8918754
Nigeria,7.6104771
Sao Tome and Principe,3.8052181
Senegal,15.6308099
Sierra Leone,22.6728492
Togo,13.358673
Cook Islands,32.9827532
Monaco,33.9311851
Nauru,44.3079434
Niue,22.7164056
Palau,24.2642224
Saint Kitts and Nevis,6.553403200000001
San Marino,32.4511339
Tuvalu,30.2756659
South Sudan,15.1694691
Sudan,12.2117032
Swaziland,-
The former Yugoslav Republic of Macedonia,-
