<<<<<<< HEAD
location_name,val
Global,0.423555972
"Southeast Asia, East Asia, and Oceania",0.565452397
East Asia,0.568306023
China,0.571373312
Democratic People's Republic of Korea,0.495646003
Taiwan (Province of China),0.458299092
Southeast Asia,0.547644235
Cambodia,0.538446112
Indonesia,0.57527151
Lao People's Democratic Republic,0.430520198
Malaysia,0.509216905
Maldives,0.466435971
Myanmar,0.535947705
Philippines,0.559125585
Sri Lanka,0.38020599
Thailand,0.480991045
Timor-Leste,0.624275552
Viet Nam,0.59750957
Oceania,0.488076006
Fiji,0.478503637
Kiribati,0.621650273
Marshall Islands,0.340508194
Micronesia (Federated States of),0.599554124
Papua New Guinea,0.49425755
Samoa,0.455876356
Solomon Islands,0.47808112
Tonga,0.530691205
Vanuatu,0.444422328
"Central Europe, Eastern Europe, and Central Asia",0.49824928
Central Asia,0.374434532
Armenia,0.591692051
Azerbaijan,0.44725855
Georgia,0.483698243
Kazakhstan,0.493764873
Kyrgyzstan,0.414900494
Mongolia,0.47016556
Tajikistan,0.262835812
Turkmenistan,0.369966775
Uzbekistan,0.201778546
Central Europe,0.445569354
Albania,0.40520859
Bosnia and Herzegovina,0.407746012
Bulgaria,0.515808838
Croatia,0.416818039
Czechia,0.425572114
Hungary,0.420930711
North Macedonia,0.483900346
Montenegro,0.424092807
Poland,0.463089268
Romania,0.461623522
Serbia,0.43051637
Slovakia,0.405317783
Slovenia,0.301497499
Eastern Europe,0.567975476
Belarus,0.517391309
Estonia,0.429618649
Latvia,0.499047393
Lithuania,0.441550149
Republic of Moldova,0.408278318
Russian Federation,0.575733251
Ukraine,0.582186065
High-income,0.376668564
High-income Asia Pacific,0.536222273
Brunei Darussalam,0.361139686
Japan,0.539289986
Republic of Korea,0.548522393
Singapore,0.266794402
Australasia,0.282366497
Australia,0.284772907
New Zealand,0.270492455
Western Europe,0.379966502
Andorra,0.403501438
Austria,0.431385623
Belgium,0.382406492
Cyprus,0.47590863
Denmark,0.40371533
Finland,0.323477787
France,0.41180631
Germany,0.37719629
Greece,0.515984486
Iceland,0.288081062
Ireland,0.35348913
Israel,0.363763208
Italy,0.355242361
Luxembourg,0.365466297
Malta,0.354628962
Netherlands,0.384085881
Norway,0.385894584
Portugal,0.386743076
Spain,0.455742383
Sweden,0.194494889
Switzerland,0.38960079
United Kingdom,0.322754039
Southern Latin America,0.365804384
Argentina,0.337731015
Chile,0.411986951
Uruguay,0.404236934
High-income North America,0.28197353
Canada,0.321126525
United States of America,0.277547361
Latin America and Caribbean,0.317857716
Caribbean,0.279510372
Antigua and Barbuda,0.10549629
Bahamas,0.107544693
Barbados,0.166467319
Belize,0.202096594
Cuba,0.427704284
Dominica,0.14532729
Dominican Republic,0.157931851
Grenada,0.176214441
Guyana,0.230546738
Haiti,0.169412965
