location_name,val
China,31.5704697
Democratic People's Republic of Korea,25.1203618
Cambodia,27.4458791
Indonesia,30.1575007
Lao People's Democratic Republic,23.5173295
Malaysia,27.855383900000003
Maldives,27.8214497
Myanmar,34.0187799
Philippines,34.5906251
Sri Lanka,20.0826803
Thailand,26.3974284
Timor-Leste,34.6063683
Viet Nam,30.3233093
Fiji,32.4630249
Kiribati,49.2053693
Marshall Islands,21.1233073
Micronesia (Federated States of),46.3127091
Papua New Guinea,37.2803391
Samoa,31.5728773
Solomon Islands,33.0620478
Tonga,33.036373000000005
Vanuatu,26.3826081
Armenia,29.5986202
Azerbaijan,22.0945647
Georgia,26.0863971
Kazakhstan,27.3336796
Kyrgyzstan,21.5389156
Mongolia,26.144805100000003
Tajikistan,13.9267248
Turkmenistan,20.3735957
Uzbekistan,10.5722467
Albania,23.8038513
Bosnia and Herzegovina,31.1809054
Bulgaria,44.6078137
Croatia,37.0673486
Czechia,36.3737724
Hungary,36.8706383
Montenegro,38.2874635
Poland,36.8008683
Romania,33.7571251
Serbia,37.3554238
Slovakia,31.8648068
Slovenia,25.498546500000003
Belarus,33.2326554
Estonia,30.989322200000004
Latvia,33.932815500000004
Lithuania,28.3112286
Republic of Moldova,22.9482421
Russian Federation,34.4779444
Ukraine,35.1337216
Brunei Darussalam,21.8711615
Japan,34.0069173
Republic of Korea,30.4423304
Singapore,18.1383255
Australia,26.4324617
New Zealand,26.9493401
Andorra,35.231325000000005
Austria,37.752909
Belgium,33.3880848
Cyprus,35.6760702
Denmark,40.9084308
Finland,28.5452843
France,36.1495083
Germany,32.3095895
Greece,42.2652409
Iceland,27.9764284
Ireland,32.6542715
Israel,28.8047792
Italy,29.4786804
Luxembourg,32.8922083
Malta,28.8227354
Netherlands,35.6999082
Norway,37.7184335
Portugal,27.4210083
Spain,37.7276089
Sweden,22.1148468
Switzerland,34.140865500000004
United Kingdom,31.3349081
Argentina,29.2448565
Chile,39.1316381
Uruguay,35.124106
Canada,30.3337514
United States of America,25.7596261
Antigua and Barbuda,7.431985500000001
Bahamas,6.985258099999999
Barbados,10.502736
Belize,12.1325991
Cuba,33.3836941
Dominica,10.6793266
Dominican Republic,14.310754
Grenada,11.6155544
Guyana,13.722204199999998
Haiti,10.7177393
Jamaica,19.0453559
Saint Lucia,13.9648954
Saint Vincent and the Grenadines,12.8488781
Suriname,27.041114300000004
Trinidad and Tobago,18.9582883
Bolivia (Plurinational State of),10.4569291
Ecuador,14.3221847
Peru,9.0658784
Colombia,20.9526443
Costa Rica,18.7609739
El Salvador,7.0785866
Guatemala,13.3994657
Honduras,16.921213700000003
Mexico,27.7730636
Nicaragua,14.7335621
Panama,13.0300952
Venezuela (Bolivarian Republic of),22.8546046
Brazil,28.4426962
Paraguay,27.0162876
Algeria,17.8156545
Bahrain,14.8114213
Egypt,20.2239785
Iran (Islamic Republic of),13.7821867
Iraq,24.7996878
Jordan,28.1130717
Kuwait,25.3649374
Lebanon,30.060792600000003
Libya,19.2364703
Morocco,15.8167624
Oman,11.449455
Qatar,16.6060868
Saudi Arabia,12.3775227
Syrian Arab Republic,28.1788469
Tunisia,26.6932786
Turkey,35.1360559
United Arab Emirates,17.7251354
Yemen,20.2952643
Afghanistan,4.5278924
Bangladesh,25.7797061
Bhutan,10.5882357
India,19.8727611
Nepal,40.4905789
Pakistan,23.7678767
Angola,11.287213
Central African Republic,10.0193716
Congo,8.1883611
Democratic Republic of the Congo,10.5818863
Equatorial Guinea,12.6098295
Gabon,11.0904389
Burundi,11.9587225
Comoros,14.7963009
Djibouti,20.5123013
Eritrea,7.6596217
Ethiopia,5.6763133
Kenya,16.854911
Madagascar,18.7582922
Malawi,13.7250822
Mauritius,24.2714325
Mozambique,14.1791817
Rwanda,14.8802634
Seychelles,25.7473202
Somalia,12.7748572
United Republic of Tanzania,16.0300628
Uganda,12.640311100000002
Zambia,15.7226161
Botswana,22.0094152
Lesotho,15.4422741
Namibia,20.5527098
South Africa,27.1420799
Zimbabwe,16.5258381
Benin,9.6791316
Burkina Faso,11.5235917
Cameroon,11.1486786
Cabo Verde,8.7391118
Chad,12.826564
Côte d'Ivoire,12.8593081
Gambia,17.3238533
Ghana,5.8871259
Guinea,16.4875547
Guinea-Bissau,3.2155198000000005
Liberia,8.9565333
Mali,10.3774549
Mauritania,22.1109194
Niger,8.0846791
Nigeria,6.9266037
Sao Tome and Principe,4.2348614
Senegal,15.1732367
Sierra Leone,21.1324223
Togo,12.0929182
Cook Islands,33.186488
Monaco,32.2723484
Nauru,45.9641074
Niue,22.7346872
Palau,24.4236335
Saint Kitts and Nevis,7.350109600000001
San Marino,29.7455256
Tuvalu,30.8005913
South Sudan,14.3139392
Sudan,12.4493859
Swaziland,-
The former Yugoslav Republic of Macedonia,-
