location_name,val
Afghanistan,5.6109461
Albania,41.101
Algeria,35.2723039
Andorra,41.9585412
Angola,21.5836322
Antigua and Barbuda,9.5673279
Argentina,35.4416367
Armenia,60.4275825
Australia,31.5924085
Austria,42.0688436
Azerbaijan,44.2828591
Bahamas,11.5239671
Bahrain,23.6246891
Bangladesh,50.7096135
Barbados,16.5296867
Belarus,52.9496903
Belgium,41.0789035
Belize,22.0974239
Benin,18.4285147
Bhutan,17.0283425
Bolivia (Plurinational State of),19.7801983
Bosnia and Herzegovina,38.3821306
Botswana,38.8818028
Brazil,39.4687388
Brunei Darussalam,42.8429861
Bulgaria,53.4450739
Burkina Faso,23.7789492
Burundi,25.5573453
Cabo Verde,17.2829456
Cambodia,50.6195202
Cameroon,22.4408547
Canada,34.4452972
Central African Republic,20.3044504
Chad,23.013247
Chile,41.6372239
China,60.8152596
Colombia,31.8185723
Comoros,27.6222716
Congo,16.1060013
Cook Islands,40.7228183
Costa Rica,28.4133481
Côte d'Ivoire,19.7281128
Croatia,47.5141194
Cuba,42.9663582
Cyprus,47.4422026
Czechia,43.5496927
Democratic People's Republic of Korea,47.6244547
Democratic Republic of the Congo,23.0171523
Denmark,44.5891463
Djibouti,36.4772949
Dominica,15.5779081
Dominican Republic,14.7400819
Ecuador,26.9810432
Egypt,38.4373812
El Salvador,12.9716274
Equatorial Guinea,27.0231691
Eritrea,16.0486995
Estonia,44.1764897
Ethiopia,12.4019582
Fiji,49.9281508
Finland,34.3581951
France,44.5180553
Gabon,18.7644302
Gambia,34.9970561
Georgia,49.0099683
Germany,37.711752
Ghana,11.3341388
Greece,54.1159481
Grenada,16.5112943
Guatemala,24.0704245
Guinea,32.076503
Guinea-Bissau,7.3021339
Guyana,23.477275
Haiti,18.7137208
Honduras,30.0007555
Hungary,43.695547
Iceland,32.4872643
India,39.033322
Indonesia,54.5542985
Iran (Islamic Republic of),24.4071087
Iraq,46.3040595
Ireland,35.7662808
Israel,39.9496706
Italy,39.354556
Jamaica,27.4293496
Japan,57.3738922
Jordan,47.6368962
Kazakhstan,50.7904692
Kenya,29.8972731
Kiribati,59.6972621
Kuwait,39.309856
Kyrgyzstan,46.0818798
Lao People's Democratic Republic,45.0634735
Latvia,53.9111479
Lebanon,36.9195939
Lesotho,32.0993729
Liberia,15.7700925
Libya,38.4345789
Lithuania,46.5679
Luxembourg,38.326907
Madagascar,40.068425
Malawi,24.0855635
Malaysia,51.8512809
Maldives,49.544613
Mali,17.7396053
Malta,42.0387016
Marshall Islands,33.9643791
Mauritania,37.4642858
Mauritius,47.3464858
Mexico,45.4432814
Micronesia (Federated States of),60.0391024
Monaco,38.6872124
Mongolia,46.6007156
Montenegro,40.9611105
Morocco,33.6435784
Mozambique,25.0221611
Myanmar,60.5790626
Namibia,29.9738771
Nauru,45.1804987
Nepal,49.8503996
Netherlands,43.41561
New Zealand,28.5692542
Nicaragua,28.1150293
Niger,12.6863442
Nigeria,12.1192007
Niue,29.2620774
Norway,40.2929364
Oman,20.9546953
Pakistan,40.6673016
Palau,34.830281
Panama,20.4207959
Papua New Guinea,48.6212434
Paraguay,40.8558928
Peru,11.3851639
Philippines,57.5007547
Poland,53.4483739
Portugal,41.0451562
Qatar,22.8563437
Republic of Korea,56.7834345
Republic of Moldova,39.1759841
Romania,47.3104923
Russian Federation,55.3126334
Rwanda,22.1094489
Saint Kitts and Nevis,10.3408992
Saint Lucia,22.1461614
Saint Vincent and the Grenadines,21.3780955
Samoa,44.5622591
San Marino,36.3909476
Sao Tome and Principe,6.3021938
Saudi Arabia,16.2566072
Senegal,29.8936287
Serbia,41.4815188
Seychelles,44.6224844
Sierra Leone,35.2215874
Singapore,30.1125186
Slovakia,43.4152835
Slovenia,33.5191845
Solomon Islands,50.2437944
Somalia,24.3782856
South Africa,-
South Sudan,25.0457605
Spain,50.893729
Sri Lanka,43.5316274
Sudan,22.3338775
Suriname,41.5388483
Swaziland,-
Sweden,22.3597653
Switzerland,38.2608548
Syrian Arab Republic,50.2535714
Tajikistan,31.2594558
Thailand,53.4803806
The former Yugoslav Republic of Macedonia,48.2027588
Timor-Leste,63.7162808
Togo,24.5433229
Tonga,54.68376
Trinidad and Tobago,33.0974999
Tunisia,51.1306794
Turkey,55.366714
Turkmenistan,40.3480681
Tuvalu,43.891446
Uganda,19.2222972
Ukraine,58.5481983
United Arab Emirates,22.7341329
United Kingdom,33.8226987
United Republic of Tanzania,29.4685739
United States of America,28.3354291
Uruguay,40.3655023
Uzbekistan,18.2540366
Vanuatu,43.352167
Venezuela (Bolivarian Republic of),35.3493273
Viet Nam,59.108834
Yemen,33.1019412
Zambia,25.2344338
Zimbabwe,33.2170188
