date,name,category,value
1990,China,East Asia,279346994.1
1991,China,East Asia,285893059.4
1992,China,East Asia,291247088.1
1993,China,East Asia,295310851.8
1994,China,East Asia,297898575.3
1995,China,East Asia,299390944.5
1996,China,East Asia,299702870.6
1997,China,East Asia,298897736.4
1998,China,East Asia,297478616.1
1999,China,East Asia,295875737.9
2000,China,East Asia,294513195.9
2001,China,East Asia,293774908.4
2002,China,East Asia,293862140.9
2003,China,East Asia,294913235.5
2004,China,East Asia,296917556.3
2005,China,East Asia,299925921.8
2006,China,East Asia,303689716.3
2007,China,East Asia,307967148.9
2008,China,East Asia,312662721.2
2009,China,East Asia,317553720.4
2010,China,East Asia,322335913.2
2011,China,East Asia,326404738.0
2012,China,East Asia,329920255.7
2013,China,East Asia,332757258.3
2014,China,East Asia,335121681.7
2015,China,East Asia,336900376.5
2016,China,East Asia,338180339.4
2017,China,East Asia,339170276.8
2018,China,East Asia,340117159.6
2019,China,East Asia,341263781.6
1990,Democratic People's Republic of Korea,East Asia,3563398.725
1991,Democratic People's Republic of Korea,East Asia,3672969.159
1992,Democratic People's Republic of Korea,East Asia,3782045.239
1993,Democratic People's Republic of Korea,East Asia,3889420.984
1994,Democratic People's Republic of Korea,East Asia,3995223.808
1995,Democratic People's Republic of Korea,East Asia,4090221.583
1996,Democratic People's Republic of Korea,East Asia,4180100.65
1997,Democratic People's Republic of Korea,East Asia,4272932.281
1998,Democratic People's Republic of Korea,East Asia,4362302.02
1999,Democratic People's Republic of Korea,East Asia,4447959.372
2000,Democratic People's Republic of Korea,East Asia,4510589.099
2001,Democratic People's Republic of Korea,East Asia,4556458.052
2002,Democratic People's Republic of Korea,East Asia,4595079.115
2003,Democratic People's Republic of Korea,East Asia,4642535.262
2004,Democratic People's Republic of Korea,East Asia,4699119.106
2005,Democratic People's Republic of Korea,East Asia,4755328.798
2006,Democratic People's Republic of Korea,East Asia,4802866.914
2007,Democratic People's Republic of Korea,East Asia,4850092.448
2008,Democratic People's Republic of Korea,East Asia,4891398.871
2009,Democratic People's Republic of Korea,East Asia,4932410.106
2010,Democratic People's Republic of Korea,East Asia,4973629.667
2011,Democratic People's Republic of Korea,East Asia,5011282.055
2012,Democratic People's Republic of Korea,East Asia,5049497.407
2013,Democratic People's Republic of Korea,East Asia,5089692.119
2014,Democratic People's Republic of Korea,East Asia,5130835.635
2015,Democratic People's Republic of Korea,East Asia,5171666.131
2016,Democratic People's Republic of Korea,East Asia,5208906.576
2017,Democratic People's Republic of Korea,East Asia,5244940.736
2018,Democratic People's Republic of Korea,East Asia,5300059.36
2019,Democratic People's Republic of Korea,East Asia,5355657.916
1990,Taiwan (Province of China),East Asia,4295442.319
1991,Taiwan (Province of China),East Asia,4333659.505
1992,Taiwan (Province of China),East Asia,4367709.52
1993,Taiwan (Province of China),East Asia,4400149.791
1994,Taiwan (Province of China),East Asia,4430247.844
1995,Taiwan (Province of China),East Asia,4464201.398
1996,Taiwan (Province of China),East Asia,4506381.245
1997,Taiwan (Province of China),East Asia,4541171.917
1998,Taiwan (Province of China),East Asia,4569668.997
1999,Taiwan (Province of China),East Asia,4589440.161
2000,Taiwan (Province of China),East Asia,4600180.332
2001,Taiwan (Province of China),East Asia,4607343.272
