date,name,category,value
1990,Afghanistan,South Asia,195266.8658
1991,Afghanistan,South Asia,229669.4495
1992,Afghanistan,South Asia,289556.6977
1993,Afghanistan,South Asia,343507.5792
1994,Afghanistan,South Asia,380656.3247
1995,Afghanistan,South Asia,421323.4153
1996,Afghanistan,South Asia,465685.3906
1997,Afghanistan,South Asia,509419.8253
1998,Afghanistan,South Asia,537984.9245
1999,Afghanistan,South Asia,560361.8323
2000,Afghanistan,South Asia,589969.4251
2001,Afghanistan,South Asia,647501.8537
2002,Afghanistan,South Asia,736504.7028
2003,Afghanistan,South Asia,820264.1213
2004,Afghanistan,South Asia,903743.4405
2005,Afghanistan,South Asia,990922.8239
2006,Afghanistan,South Asia,1066383.9
2007,Afghanistan,South Asia,1161294.222
2008,Afghanistan,South Asia,1265521.341
2009,Afghanistan,South Asia,1362630.605
2010,Afghanistan,South Asia,1472034.832
2011,Afghanistan,South Asia,1580392.929
2012,Afghanistan,South Asia,1676129.739
2013,Afghanistan,South Asia,1769592.331
2014,Afghanistan,South Asia,1849571.149
2015,Afghanistan,South Asia,1928130.236
2016,Afghanistan,South Asia,2012763.643
2017,Afghanistan,South Asia,2100947.256
2018,Afghanistan,South Asia,2180397.008
2019,Afghanistan,South Asia,2257180.971
1990,Bangladesh,South Asia,15796279.29
1991,Bangladesh,South Asia,15944398.0
1992,Bangladesh,South Asia,16111726.15
1993,Bangladesh,South Asia,16308752.59
1994,Bangladesh,South Asia,16516520.49
1995,Bangladesh,South Asia,16731309.79
1996,Bangladesh,South Asia,16935640.55
1997,Bangladesh,South Asia,17152312.46
1998,Bangladesh,South Asia,17391813.66
1999,Bangladesh,South Asia,17667426.14
2000,Bangladesh,South Asia,17997300.79
2001,Bangladesh,South Asia,18379648.52
2002,Bangladesh,South Asia,18817171.73
2003,Bangladesh,South Asia,19338350.56
2004,Bangladesh,South Asia,19852419.12
2005,Bangladesh,South Asia,20374203.16
2006,Bangladesh,South Asia,20900189.1
2007,Bangladesh,South Asia,21416142.42
2008,Bangladesh,South Asia,21924519.37
2009,Bangladesh,South Asia,22420003.03
2010,Bangladesh,South Asia,22868564.64
2011,Bangladesh,South Asia,23295568.31
2012,Bangladesh,South Asia,23696044.61
2013,Bangladesh,South Asia,24045650.27
2014,Bangladesh,South Asia,24349471.06
2015,Bangladesh,South Asia,24668935.12
2016,Bangladesh,South Asia,24995378.59
2017,Bangladesh,South Asia,25335816.18
2018,Bangladesh,South Asia,25755184.61
2019,Bangladesh,South Asia,26202899.75
1990,Bhutan,South Asia,44666.56589
1991,Bhutan,South Asia,42295.10051
1992,Bhutan,South Asia,40951.31079
1993,Bhutan,South Asia,40897.84125
1994,Bhutan,South Asia,41350.18145
1995,Bhutan,South Asia,42054.96913
1996,Bhutan,South Asia,42755.82862
1997,Bhutan,South Asia,43472.50588
1998,Bhutan,South Asia,43994.53263
1999,Bhutan,South Asia,44337.60484
2000,Bhutan,South Asia,44590.7838
2001,Bhutan,South Asia,44777.98379
2002,Bhutan,South Asia,44978.46184
2003,Bhutan,South Asia,45166.5537
2004,Bhutan,South Asia,45297.92136
2005,Bhutan,South Asia,45741.45151
2006,Bhutan,South Asia,46501.3466
2007,Bhutan,South Asia,47631.43739
2008,Bhutan,South Asia,49084.44357
2009,Bhutan,South Asia,50777.85201
2010,Bhutan,South Asia,52695.55428
2011,Bhutan,South Asia,54498.75014
2012,Bhutan,South Asia,55799.97182
2013,Bhutan,South Asia,56294.87455
2014,Bhutan,South Asia,56575.87962
2015,Bhutan,South Asia,56968.14045
2016,Bhutan,South Asia,57228.55951
2017,Bhutan,South Asia,57078.59961
2018,Bhutan,South Asia,56936.84097
2019,Bhutan,South Asia,56820.18031
1990,India,South Asia,111374670.3
1991,India,South Asia,112168703.5
1992,India,South Asia,112692345.6
1993,India,South Asia,113063422.3
1994,India,South Asia,113160577.9
1995,India,South Asia,113309453.7
1996,India,South Asia,113602029.7
1997,India,South Asia,114106582.5
1998,India,South Asia,114864056.9
1999,India,South Asia,115935409.1
2000,India,South Asia,117316970.1
2001,India,South Asia,119045796.4
2002,India,South Asia,121077361.8
2003,India,South Asia,123356586.1
2004,India,South Asia,125719147.0
2005,India,South Asia,128040279.9
2006,India,South Asia,129833963.0
2007,India,South Asia,131860886.4
2008,India,South Asia,132800988.6
2009,India,South Asia,134571303.7
2010,India,South Asia,135978577.9
2011,India,South Asia,136770584.5
2012,India,South Asia,136699032.2
2013,India,South Asia,134941331.8
2014,India,South Asia,133216548.0
2015,India,South Asia,131467606.1
2016,India,South Asia,130642876.7
2017,India,South Asia,130183725.0
2018,India,South Asia,130187858.1
2019,India,South Asia,130654584.2
1990,Nepal,South Asia,3906413.689
1991,Nepal,South Asia,4011659.214
1992,Nepal,South Asia,4120354.351
1993,Nepal,South Asia,4232594.535
1994,Nepal,South Asia,4348617.994
1995,Nepal,South Asia,4466168.436
1996,Nepal,South Asia,4583245.929
1997,Nepal,South Asia,4696317.969
1998,Nepal,South Asia,4802648.49
1999,Nepal,South Asia,4899174.894
2000,Nepal,South Asia,4982387.178
2001,Nepal,South Asia,5026234.743
2002,Nepal,South Asia,5038669.137
2003,Nepal,South Asia,5025926.128
2004,Nepal,South Asia,4958688.737
2005,Nepal,South Asia,4868006.364
2006,Nepal,South Asia,4763316.62
2007,Nepal,South Asia,4669861.072
2008,Nepal,South Asia,4556665.666
2009,Nepal,South Asia,4437846.017
2010,Nepal,South Asia,4317584.752
2011,Nepal,South Asia,4198234.027
2012,Nepal,South Asia,4105989.044
2013,Nepal,South Asia,4056602.861
2014,Nepal,South Asia,4036661.294
2015,Nepal,South Asia,4042337.093
2016,Nepal,South Asia,4069958.635
2017,Nepal,South Asia,4122637.319
2018,Nepal,South Asia,4193508.262
2019,Nepal,South Asia,4279972.967
1990,Pakistan,South Asia,13797114.09
1991,Pakistan,South Asia,14065798.38
1992,Pakistan,South Asia,14346636.74
1993,Pakistan,South Asia,14621690.07
1994,Pakistan,South Asia,14879457.5
1995,Pakistan,South Asia,15118195.23
1996,Pakistan,South Asia,15339460.25
1997,Pakistan,South Asia,15551382.56
1998,Pakistan,South Asia,15750227.09
1999,Pakistan,South Asia,15935572.9
2000,Pakistan,South Asia,16102471.27
2001,Pakistan,South Asia,16249079.99
2002,Pakistan,South Asia,16380875.49
2003,Pakistan,South Asia,16506082.04
2004,Pakistan,South Asia,16578985.12
2005,Pakistan,South Asia,16634762.63
2006,Pakistan,South Asia,16680448.47
2007,Pakistan,South Asia,16713397.42
2008,Pakistan,South Asia,16725008.69
2009,Pakistan,South Asia,16715679.55
2010,Pakistan,South Asia,16678726.43
2011,Pakistan,South Asia,16629748.72
2012,Pakistan,South Asia,16608076.87
2013,Pakistan,South Asia,16575364.9
2014,Pakistan,South Asia,16572713.89
2015,Pakistan,South Asia,16686158.36
2016,Pakistan,South Asia,16884443.64
2017,Pakistan,South Asia,17185898.89
2018,Pakistan,South Asia,17602507.04
2019,Pakistan,South Asia,18082699.69
