date,name,category,value
1990-01-01,Brunei Darussalam,High-income Asia Pacific,41374.87
1991-01-01,Brunei Darussalam,High-income Asia Pacific,41722.5
1992-01-01,Brunei Darussalam,High-income Asia Pacific,41883.44
1993-01-01,Brunei Darussalam,High-income Asia Pacific,41889.31
1994-01-01,Brunei Darussalam,High-income Asia Pacific,41724.28
1995-01-01,Brunei Darussalam,High-income Asia Pacific,41449.32
1996-01-01,Brunei Darussalam,High-income Asia Pacific,41038.62
1997-01-01,Brunei Darussalam,High-income Asia Pacific,40569.93
1998-01-01,Brunei Darussalam,High-income Asia Pacific,40109.53
1999-01-01,Brunei Darussalam,High-income Asia Pacific,39672.54
2000-01-01,Brunei Darussalam,High-income Asia Pacific,39327.95
2001-01-01,Brunei Darussalam,High-income Asia Pacific,39062.8
2002-01-01,Brunei Darussalam,High-income Asia Pacific,39312.27
2003-01-01,Brunei Darussalam,High-income Asia Pacific,39741.59
2004-01-01,Brunei Darussalam,High-income Asia Pacific,40284.83
2005-01-01,Brunei Darussalam,High-income Asia Pacific,40872.12
2006-01-01,Brunei Darussalam,High-income Asia Pacific,41525.92
2007-01-01,Brunei Darussalam,High-income Asia Pacific,42192.9
2008-01-01,Brunei Darussalam,High-income Asia Pacific,42870.11
2009-01-01,Brunei Darussalam,High-income Asia Pacific,43546.61
2010-01-01,Brunei Darussalam,High-income Asia Pacific,44185.97
2011-01-01,Brunei Darussalam,High-income Asia Pacific,44856.13
2012-01-01,Brunei Darussalam,High-income Asia Pacific,45633.11
2013-01-01,Brunei Darussalam,High-income Asia Pacific,46998.0
2014-01-01,Brunei Darussalam,High-income Asia Pacific,48255.15
2015-01-01,Brunei Darussalam,High-income Asia Pacific,49549.09
2016-01-01,Brunei Darussalam,High-income Asia Pacific,50822.89
2017-01-01,Brunei Darussalam,High-income Asia Pacific,52069.32
2018-01-01,Brunei Darussalam,High-income Asia Pacific,53318.4
2019-01-01,Brunei Darussalam,High-income Asia Pacific,54478.06
1990-01-01,Japan,High-income Asia Pacific,28824216.95
1991-01-01,Japan,High-income Asia Pacific,28818118.03
1992-01-01,Japan,High-income Asia Pacific,28803870.41
1993-01-01,Japan,High-income Asia Pacific,28775899.8
1994-01-01,Japan,High-income Asia Pacific,28719059.48
1995-01-01,Japan,High-income Asia Pacific,28619923.87
1996-01-01,Japan,High-income Asia Pacific,28452054.3
1997-01-01,Japan,High-income Asia Pacific,28231525.61
1998-01-01,Japan,High-income Asia Pacific,27962949.97
1999-01-01,Japan,High-income Asia Pacific,27625960.79
2000-01-01,Japan,High-income Asia Pacific,27202756.47
2001-01-01,Japan,High-income Asia Pacific,26721192.67
2002-01-01,Japan,High-income Asia Pacific,26127953.43
2003-01-01,Japan,High-income Asia Pacific,25481039.14
2004-01-01,Japan,High-income Asia Pacific,24772267.35
2005-01-01,Japan,High-income Asia Pacific,23999450.84
2006-01-01,Japan,High-income Asia Pacific,23181039.28
2007-01-01,Japan,High-income Asia Pacific,22369563.41
2008-01-01,Japan,High-income Asia Pacific,21582195.71
2009-01-01,Japan,High-income Asia Pacific,20818722.74
2010-01-01,Japan,High-income Asia Pacific,20113570.83
2011-01-01,Japan,High-income Asia Pacific,19471617.11
2012-01-01,Japan,High-income Asia Pacific,18844766.35
2013-01-01,Japan,High-income Asia Pacific,18326848.61
2014-01-01,Japan,High-income Asia Pacific,17882230.0
2015-01-01,Japan,High-income Asia Pacific,17533613.44
2016-01-01,Japan,High-income Asia Pacific,17263465.16
2017-01-01,Japan,High-income Asia Pacific,17039806.54
2018-01-01,Japan,High-income Asia Pacific,16942913.17
2019-01-01,Japan,High-income Asia Pacific,16880322.01
1990-01-01,Republic of Korea,High-income Asia Pacific,9610979.13
1991-01-01,Republic of Korea,High-income Asia Pacific,9777264.37
1992-01-01,Republic of Korea,High-income Asia Pacific,9898437.94
1993-01-01,Republic of Korea,High-income Asia Pacific,9983839.57
1994-01-01,Republic of Korea,High-income Asia Pacific,10044936.9
1995-01-01,Republic of Korea,High-income Asia Pacific,10076726.88
1996-01-01,Republic of Korea,High-income Asia Pacific,10084182.88
1997-01-01,Republic of Korea,High-income Asia Pacific,10074145.94
1998-01-01,Republic of Korea,High-income Asia Pacific,10061569.87
1999-01-01,Republic of Korea,High-income Asia Pacific,10046667.76
2000-01-01,Republic of Korea,High-income Asia Pacific,10022650.2
2001-01-01,Republic of Korea,High-income Asia Pacific,9974137.27
2002-01-01,Republic of Korea,High-income Asia Pacific,9886528.02
2003-01-01,Republic of Korea,High-income Asia Pacific,9784745.68
2004-01-01,Republic of Korea,High-income Asia Pacific,9672958.59
2005-01-01,Republic of Korea,High-income Asia Pacific,9561163.65
2006-01-01,Republic of Korea,High-income Asia Pacific,9459089.42
2007-01-01,Republic of Korea,High-income Asia Pacific,9396097.6
2008-01-01,Republic of Korea,High-income Asia Pacific,9369680.88
2009-01-01,Republic of Korea,High-income Asia Pacific,9364758.1
2010-01-01,Republic of Korea,High-income Asia Pacific,9383652.47
2011-01-01,Republic of Korea,High-income Asia Pacific,9426484.3
2012-01-01,Republic of Korea,High-income Asia Pacific,9479274.57
2013-01-01,Republic of Korea,High-income Asia Pacific,9568411.86
2014-01-01,Republic of Korea,High-income Asia Pacific,9645324.74
2015-01-01,Republic of Korea,High-income Asia Pacific,9717623.29
2016-01-01,Republic of Korea,High-income Asia Pacific,9787890.19
2017-01-01,Republic of Korea,High-income Asia Pacific,9867340.86
2018-01-01,Republic of Korea,High-income Asia Pacific,9959728.02
2019-01-01,Republic of Korea,High-income Asia Pacific,10043969.11
1990-01-01,Singapore,High-income Asia Pacific,375450.92
1991-01-01,Singapore,High-income Asia Pacific,381575.12
1992-01-01,Singapore,High-income Asia Pacific,386807.64
1993-01-01,Singapore,High-income Asia Pacific,390495.22
1994-01-01,Singapore,High-income Asia Pacific,397509.11
1995-01-01,Singapore,High-income Asia Pacific,403608.54
1996-01-01,Singapore,High-income Asia Pacific,420314.44
1997-01-01,Singapore,High-income Asia Pacific,432032.99
