date,name,category,value
1990-01-01,Armenia,Central Asia,703687.07
1991-01-01,Armenia,Central Asia,702074.44
1992-01-01,Armenia,Central Asia,699135.13
1993-01-01,Armenia,Central Asia,695702.06
1994-01-01,Armenia,Central Asia,692129.39
1995-01-01,Armenia,Central Asia,688609.12
1996-01-01,Armenia,Central Asia,686060.29
1997-01-01,Armenia,Central Asia,683713.51
1998-01-01,Armenia,Central Asia,682764.54
1999-01-01,Armenia,Central Asia,683134.88
2000-01-01,Armenia,Central Asia,683680.96
2001-01-01,Armenia,Central Asia,684157.51
2002-01-01,Armenia,Central Asia,683988.65
2003-01-01,Armenia,Central Asia,684328.16
2004-01-01,Armenia,Central Asia,685249.73
2005-01-01,Armenia,Central Asia,684936.49
2006-01-01,Armenia,Central Asia,682965.49
2007-01-01,Armenia,Central Asia,680400.52
2008-01-01,Armenia,Central Asia,677641.8
2009-01-01,Armenia,Central Asia,674896.32
2010-01-01,Armenia,Central Asia,673611.06
2011-01-01,Armenia,Central Asia,671260.7
2012-01-01,Armenia,Central Asia,669073.19
2013-01-01,Armenia,Central Asia,666441.86
2014-01-01,Armenia,Central Asia,663325.1
2015-01-01,Armenia,Central Asia,660311.8
2016-01-01,Armenia,Central Asia,657118.9
2017-01-01,Armenia,Central Asia,653855.87
2018-01-01,Armenia,Central Asia,650776.52
2019-01-01,Armenia,Central Asia,647451.53
1990-01-01,Azerbaijan,Central Asia,1019571.53
1991-01-01,Azerbaijan,Central Asia,1038620.69
1992-01-01,Azerbaijan,Central Asia,1055844.02
1993-01-01,Azerbaijan,Central Asia,1072336.56
1994-01-01,Azerbaijan,Central Asia,1090154.97
1995-01-01,Azerbaijan,Central Asia,1108623.43
1996-01-01,Azerbaijan,Central Asia,1130075.54
1997-01-01,Azerbaijan,Central Asia,1155145.0
1998-01-01,Azerbaijan,Central Asia,1181281.11
1999-01-01,Azerbaijan,Central Asia,1208563.28
2000-01-01,Azerbaijan,Central Asia,1236984.33
2001-01-01,Azerbaijan,Central Asia,1267275.08
2002-01-01,Azerbaijan,Central Asia,1300205.66
2003-01-01,Azerbaijan,Central Asia,1336393.09
2004-01-01,Azerbaijan,Central Asia,1376007.0
2005-01-01,Azerbaijan,Central Asia,1416852.65
2006-01-01,Azerbaijan,Central Asia,1458606.86
2007-01-01,Azerbaijan,Central Asia,1493689.74
2008-01-01,Azerbaijan,Central Asia,1522204.88
2009-01-01,Azerbaijan,Central Asia,1547884.0
2010-01-01,Azerbaijan,Central Asia,1567957.47
2011-01-01,Azerbaijan,Central Asia,1581613.08
2012-01-01,Azerbaijan,Central Asia,1597217.22
2013-01-01,Azerbaijan,Central Asia,1609364.51
2014-01-01,Azerbaijan,Central Asia,1633101.76
2015-01-01,Azerbaijan,Central Asia,1657889.53
2016-01-01,Azerbaijan,Central Asia,1683537.05
2017-01-01,Azerbaijan,Central Asia,1709309.31
2018-01-01,Azerbaijan,Central Asia,1737469.88
2019-01-01,Azerbaijan,Central Asia,1766590.64
1990-01-01,Georgia,Central Asia,957503.27
1991-01-01,Georgia,Central Asia,948319.03
1992-01-01,Georgia,Central Asia,935613.46
1993-01-01,Georgia,Central Asia,919878.68
1994-01-01,Georgia,Central Asia,903364.88
1995-01-01,Georgia,Central Asia,887841.85
1996-01-01,Georgia,Central Asia,874998.26
1997-01-01,Georgia,Central Asia,863560.1
1998-01-01,Georgia,Central Asia,852189.56
1999-01-01,Georgia,Central Asia,841597.51
2000-01-01,Georgia,Central Asia,831774.75
2001-01-01,Georgia,Central Asia,822413.64
2002-01-01,Georgia,Central Asia,814364.37
2003-01-01,Georgia,Central Asia,807090.74
2004-01-01,Georgia,Central Asia,800081.77
2005-01-01,Georgia,Central Asia,794497.97
2006-01-01,Georgia,Central Asia,790300.43
2007-01-01,Georgia,Central Asia,785894.11
2008-01-01,Georgia,Central Asia,781324.83
2009-01-01,Georgia,Central Asia,777856.85
2010-01-01,Georgia,Central Asia,774705.91
2011-01-01,Georgia,Central Asia,768969.42
2012-01-01,Georgia,Central Asia,763284.92
2013-01-01,Georgia,Central Asia,758722.21
2014-01-01,Georgia,Central Asia,752884.82
2015-01-01,Georgia,Central Asia,746619.37
2016-01-01,Georgia,Central Asia,739457.73
2017-01-01,Georgia,Central Asia,731064.64
2018-01-01,Georgia,Central Asia,721766.81
2019-01-01,Georgia,Central Asia,711943.78
1990-01-01,Kazakhstan,Central Asia,2793494.63
1991-01-01,Kazakhstan,Central Asia,2770667.71
1992-01-01,Kazakhstan,Central Asia,2738532.07
1993-01-01,Kazakhstan,Central Asia,2702704.94
1994-01-01,Kazakhstan,Central Asia,2668085.67
1995-01-01,Kazakhstan,Central Asia,2635898.88
1996-01-01,Kazakhstan,Central Asia,2608284.13
