date,name,category,value
1990-01-01,Armenia,Central Asia,745441.69
1991-01-01,Armenia,Central Asia,743661.41
1992-01-01,Armenia,Central Asia,740504.93
1993-01-01,Armenia,Central Asia,736901.0
1994-01-01,Armenia,Central Asia,733294.3
1995-01-01,Armenia,Central Asia,729675.99
1996-01-01,Armenia,Central Asia,727024.33
1997-01-01,Armenia,Central Asia,724543.84
1998-01-01,Armenia,Central Asia,723500.99
1999-01-01,Armenia,Central Asia,723940.23
2000-01-01,Armenia,Central Asia,724602.4
2001-01-01,Armenia,Central Asia,725279.25
2002-01-01,Armenia,Central Asia,725466.22
2003-01-01,Armenia,Central Asia,726384.52
2004-01-01,Armenia,Central Asia,728007.85
2005-01-01,Armenia,Central Asia,728289.0
2006-01-01,Armenia,Central Asia,726715.29
2007-01-01,Armenia,Central Asia,724374.01
2008-01-01,Armenia,Central Asia,721601.38
2009-01-01,Armenia,Central Asia,718852.39
2010-01-01,Armenia,Central Asia,717500.95
2011-01-01,Armenia,Central Asia,715264.73
2012-01-01,Armenia,Central Asia,712979.82
2013-01-01,Armenia,Central Asia,710109.38
2014-01-01,Armenia,Central Asia,706647.42
2015-01-01,Armenia,Central Asia,703203.13
2016-01-01,Armenia,Central Asia,699658.72
2017-01-01,Armenia,Central Asia,695906.24
2018-01-01,Armenia,Central Asia,692290.72
2019-01-01,Armenia,Central Asia,688319.09
1990-01-01,Azerbaijan,Central Asia,1072119.86
1991-01-01,Azerbaijan,Central Asia,1092490.72
1992-01-01,Azerbaijan,Central Asia,1111031.66
1993-01-01,Azerbaijan,Central Asia,1128942.87
1994-01-01,Azerbaijan,Central Asia,1148296.73
1995-01-01,Azerbaijan,Central Asia,1168433.0
1996-01-01,Azerbaijan,Central Asia,1191655.03
1997-01-01,Azerbaijan,Central Asia,1218870.59
1998-01-01,Azerbaijan,Central Asia,1247207.32
1999-01-01,Azerbaijan,Central Asia,1276908.5
2000-01-01,Azerbaijan,Central Asia,1307949.65
2001-01-01,Azerbaijan,Central Asia,1341075.23
2002-01-01,Azerbaijan,Central Asia,1377868.72
2003-01-01,Azerbaijan,Central Asia,1418425.64
2004-01-01,Azerbaijan,Central Asia,1462827.94
2005-01-01,Azerbaijan,Central Asia,1508876.89
2006-01-01,Azerbaijan,Central Asia,1556072.41
2007-01-01,Azerbaijan,Central Asia,1596154.05
2008-01-01,Azerbaijan,Central Asia,1628313.95
2009-01-01,Azerbaijan,Central Asia,1657258.86
2010-01-01,Azerbaijan,Central Asia,1680007.68
2011-01-01,Azerbaijan,Central Asia,1695463.5
2012-01-01,Azerbaijan,Central Asia,1712045.42
2013-01-01,Azerbaijan,Central Asia,1723428.52
2014-01-01,Azerbaijan,Central Asia,1746445.55
2015-01-01,Azerbaijan,Central Asia,1769939.8
2016-01-01,Azerbaijan,Central Asia,1793678.5
2017-01-01,Azerbaijan,Central Asia,1817189.44
2018-01-01,Azerbaijan,Central Asia,1844684.27
2019-01-01,Azerbaijan,Central Asia,1872967.85
1990-01-01,Georgia,Central Asia,1096358.04
1991-01-01,Georgia,Central Asia,1085417.12
1992-01-01,Georgia,Central Asia,1070490.91
1993-01-01,Georgia,Central Asia,1052033.52
1994-01-01,Georgia,Central Asia,1032584.72
1995-01-01,Georgia,Central Asia,1014510.59
1996-01-01,Georgia,Central Asia,999752.25
