date,name,category,value
1990-01-01,Brunei Darussalam,High-income Asia Pacific,5750.35
1991-01-01,Brunei Darussalam,High-income Asia Pacific,5798.83
1992-01-01,Brunei Darussalam,High-income Asia Pacific,5832.94
1993-01-01,Brunei Darussalam,High-income Asia Pacific,5854.14
1994-01-01,Brunei Darussalam,High-income Asia Pacific,5857.58
1995-01-01,Brunei Darussalam,High-income Asia Pacific,5846.33
1996-01-01,Brunei Darussalam,High-income Asia Pacific,5818.27
1997-01-01,Brunei Darussalam,High-income Asia Pacific,5786.55
1998-01-01,Brunei Darussalam,High-income Asia Pacific,5754.06
1999-01-01,Brunei Darussalam,High-income Asia Pacific,5723.69
2000-01-01,Brunei Darussalam,High-income Asia Pacific,5695.42
2001-01-01,Brunei Darussalam,High-income Asia Pacific,5667.87
2002-01-01,Brunei Darussalam,High-income Asia Pacific,5820.76
2003-01-01,Brunei Darussalam,High-income Asia Pacific,5993.33
2004-01-01,Brunei Darussalam,High-income Asia Pacific,6168.64
2005-01-01,Brunei Darussalam,High-income Asia Pacific,6342.75
2006-01-01,Brunei Darussalam,High-income Asia Pacific,6507.84
2007-01-01,Brunei Darussalam,High-income Asia Pacific,6664.43
2008-01-01,Brunei Darussalam,High-income Asia Pacific,6808.51
2009-01-01,Brunei Darussalam,High-income Asia Pacific,6949.29
2010-01-01,Brunei Darussalam,High-income Asia Pacific,7077.42
2011-01-01,Brunei Darussalam,High-income Asia Pacific,7213.33
2012-01-01,Brunei Darussalam,High-income Asia Pacific,7356.25
2013-01-01,Brunei Darussalam,High-income Asia Pacific,7585.45
2014-01-01,Brunei Darussalam,High-income Asia Pacific,7774.67
2015-01-01,Brunei Darussalam,High-income Asia Pacific,7967.32
2016-01-01,Brunei Darussalam,High-income Asia Pacific,8149.9
2017-01-01,Brunei Darussalam,High-income Asia Pacific,8324.12
2018-01-01,Brunei Darussalam,High-income Asia Pacific,8498.39
2019-01-01,Brunei Darussalam,High-income Asia Pacific,8659.85
1990-01-01,Japan,High-income Asia Pacific,6768968.61
1991-01-01,Japan,High-income Asia Pacific,6836322.01
1992-01-01,Japan,High-income Asia Pacific,6944951.14
1993-01-01,Japan,High-income Asia Pacific,7072116.37
1994-01-01,Japan,High-income Asia Pacific,7213405.26
1995-01-01,Japan,High-income Asia Pacific,7353760.65
1996-01-01,Japan,High-income Asia Pacific,7500047.8
1997-01-01,Japan,High-income Asia Pacific,7608857.39
1998-01-01,Japan,High-income Asia Pacific,7698132.3
1999-01-01,Japan,High-income Asia Pacific,7759517.81
2000-01-01,Japan,High-income Asia Pacific,7780631.23
2001-01-01,Japan,High-income Asia Pacific,7767938.74
2002-01-01,Japan,High-income Asia Pacific,7715384.39
2003-01-01,Japan,High-income Asia Pacific,7631879.89
2004-01-01,Japan,High-income Asia Pacific,7504834.18
2005-01-01,Japan,High-income Asia Pacific,7343783.44
2006-01-01,Japan,High-income Asia Pacific,7156314.54
