date,name,category,value
1990-01-01,China,East Asia,16214737.55
1991-01-01,China,East Asia,16907236.09
1992-01-01,China,East Asia,17520681.03
1993-01-01,China,East Asia,18032170.4
1994-01-01,China,East Asia,18417798.45
1995-01-01,China,East Asia,18722035.99
1996-01-01,China,East Asia,18953142.29
1997-01-01,China,East Asia,19054903.92
1998-01-01,China,East Asia,19078023.81
1999-01-01,China,East Asia,19054617.03
2000-01-01,China,East Asia,19047489.13
2001-01-01,China,East Asia,19093283.72
2002-01-01,China,East Asia,19208434.84
2003-01-01,China,East Asia,19414318.28
2004-01-01,China,East Asia,19679539.02
2005-01-01,China,East Asia,20010926.43
2006-01-01,China,East Asia,20388023.07
2007-01-01,China,East Asia,20757322.52
2008-01-01,China,East Asia,21124526.38
2009-01-01,China,East Asia,21504937.44
2010-01-01,China,East Asia,21887982.15
2011-01-01,China,East Asia,22219108.26
2012-01-01,China,East Asia,22499877.88
2013-01-01,China,East Asia,22704890.43
2014-01-01,China,East Asia,22875550.37
2015-01-01,China,East Asia,22961592.74
2016-01-01,China,East Asia,23023157.87
2017-01-01,China,East Asia,23056465.59
2018-01-01,China,East Asia,23096095.51
2019-01-01,China,East Asia,23188085.36
1990-01-01,Democratic People's Republic of Korea,East Asia,320658.4475
1991-01-01,Democratic People's Republic of Korea,East Asia,332534.785
1992-01-01,Democratic People's Republic of Korea,East Asia,344368.6018
1993-01-01,Democratic People's Republic of Korea,East Asia,355674.2987
1994-01-01,Democratic People's Republic of Korea,East Asia,367036.8315
1995-01-01,Democratic People's Republic of Korea,East Asia,377011.0743
1996-01-01,Democratic People's Republic of Korea,East Asia,386374.4884
1997-01-01,Democratic People's Republic of Korea,East Asia,395625.5281
1998-01-01,Democratic People's Republic of Korea,East Asia,404168.7234
1999-01-01,Democratic People's Republic of Korea,East Asia,412167.3936
2000-01-01,Democratic People's Republic of Korea,East Asia,417286.602
2001-01-01,Democratic People's Republic of Korea,East Asia,420304.3309
2002-01-01,Democratic People's Republic of Korea,East Asia,422140.3535
2003-01-01,Democratic People's Republic of Korea,East Asia,424953.2378
2004-01-01,Democratic People's Republic of Korea,East Asia,428744.0832
2005-01-01,Democratic People's Republic of Korea,East Asia,432587.3576
2006-01-01,Democratic People's Republic of Korea,East Asia,436169.8533
2007-01-01,Democratic People's Republic of Korea,East Asia,439989.0994
2008-01-01,Democratic People's Republic of Korea,East Asia,444111.1435
2009-01-01,Democratic People's Republic of Korea,East Asia,448820.6626
2010-01-01,Democratic People's Republic of Korea,East Asia,454326.8573
2011-01-01,Democratic People's Republic of Korea,East Asia,459690.7756
2012-01-01,Democratic People's Republic of Korea,East Asia,465626.7974
2013-01-01,Democratic People's Republic of Korea,East Asia,472293.2648
2014-01-01,Democratic People's Republic of Korea,East Asia,479212.982
2015-01-01,Democratic People's Republic of Korea,East Asia,486351.9341
2016-01-01,Democratic People's Republic of Korea,East Asia,493420.5586
2017-01-01,Democratic People's Republic of Korea,East Asia,500428.8768
2018-01-01,Democratic People's Republic of Korea,East Asia,505107.1822
2019-01-01,Democratic People's Republic of Korea,East Asia,509247.9513
1990-01-01,Taiwan (Province of China),East Asia,546461.4442
1991-01-01,Taiwan (Province of China),East Asia,552010.0398
1992-01-01,Taiwan (Province of China),East Asia,557150.8019
1993-01-01,Taiwan (Province of China),East Asia,561652.1191
1994-01-01,Taiwan (Province of China),East Asia,565862.7685
1995-01-01,Taiwan (Province of China),East Asia,570201.6624
1996-01-01,Taiwan (Province of China),East Asia,576558.9686
1997-01-01,Taiwan (Province of China),East Asia,582403.1443
1998-01-01,Taiwan (Province of China),East Asia,587847.2331
1999-01-01,Taiwan (Province of China),East Asia,592978.046
2000-01-01,Taiwan (Province of China),East Asia,596675.2767
2001-01-01,Taiwan (Province of China),East Asia,599407.0304
2002-01-01,Taiwan (Province of China),East Asia,603006.03
2003-01-01,Taiwan (Province of China),East Asia,605043.082
2004-01-01,Taiwan (Province of China),East Asia,605955.1253
2005-01-01,Taiwan (Province of China),East Asia,605261.0034
2006-01-01,Taiwan (Province of China),East Asia,602303.7756
2007-01-01,Taiwan (Province of China),East Asia,597610.6187
2008-01-01,Taiwan (Province of China),East Asia,593175.8447
2009-01-01,Taiwan (Province of China),East Asia,586242.6738
2010-01-01,Taiwan (Province of China),East Asia,574288.0904
2011-01-01,Taiwan (Province of China),East Asia,562415.6604
2012-01-01,Taiwan (Province of China),East Asia,548879.9875
2013-01-01,Taiwan (Province of China),East Asia,535915.8537
2014-01-01,Taiwan (Province of China),East Asia,523193.6739
2015-01-01,Taiwan (Province of China),East Asia,511057.5616
2016-01-01,Taiwan (Province of China),East Asia,502890.5828
2017-01-01,Taiwan (Province of China),East Asia,495983.7392
2018-01-01,Taiwan (Province of China),East Asia,489349.2239
2019-01-01,Taiwan (Province of China),East Asia,482956.1584
1990-01-01,Cambodia,Southeast Asia,150682.0736
1991-01-01,Cambodia,Southeast Asia,157304.071
1992-01-01,Cambodia,Southeast Asia,164508.0646
1993-01-01,Cambodia,Southeast Asia,172180.4231
1994-01-01,Cambodia,Southeast Asia,179994.9769
1995-01-01,Cambodia,Southeast Asia,188054.8368
1996-01-01,Cambodia,Southeast Asia,196089.5257
1997-01-01,Cambodia,Southeast Asia,204212.8967
1998-01-01,Cambodia,Southeast Asia,212502.4327
1999-01-01,Cambodia,Southeast Asia,220154.206
2000-01-01,Cambodia,Southeast Asia,226141.6699
2001-01-01,Cambodia,Southeast Asia,230800.2078
2002-01-01,Cambodia,Southeast Asia,234344.5947
2003-01-01,Cambodia,Southeast Asia,236929.7283
2004-01-01,Cambodia,Southeast Asia,239007.9404
2005-01-01,Cambodia,Southeast Asia,239482.1723
2006-01-01,Cambodia,Southeast Asia,240955.8128
2007-01-01,Cambodia,Southeast Asia,243688.3267
2008-01-01,Cambodia,Southeast Asia,246590.7246
2009-01-01,Cambodia,Southeast Asia,249551.6277
2010-01-01,Cambodia,Southeast Asia,252595.7383
2011-01-01,Cambodia,Southeast Asia,255905.3486
2012-01-01,Cambodia,Southeast Asia,258182.839
2013-01-01,Cambodia,Southeast Asia,260600.2797
2014-01-01,Cambodia,Southeast Asia,263202.5927
2015-01-01,Cambodia,Southeast Asia,268201.485
2016-01-01,Cambodia,Southeast Asia,273920.1299
2017-01-01,Cambodia,Southeast Asia,280387.7666
2018-01-01,Cambodia,Southeast Asia,287404.8787
2019-01-01,Cambodia,Southeast Asia,294679.9467
1990-01-01,Indonesia,Southeast Asia,1774336.73
1991-01-01,Indonesia,Southeast Asia,1848831.523
1992-01-01,Indonesia,Southeast Asia,1926362.87
1993-01-01,Indonesia,Southeast Asia,2009247.615
1994-01-01,Indonesia,Southeast Asia,2098071.528
1995-01-01,Indonesia,Southeast Asia,2192832.265
1996-01-01,Indonesia,Southeast Asia,2291563.918
1997-01-01,Indonesia,Southeast Asia,2393079.329
1998-01-01,Indonesia,Southeast Asia,2498197.952
1999-01-01,Indonesia,Southeast Asia,2606205.845
2000-01-01,Indonesia,Southeast Asia,2715366.477
2001-01-01,Indonesia,Southeast Asia,2825262.152
2002-01-01,Indonesia,Southeast Asia,2924180.973
2003-01-01,Indonesia,Southeast Asia,3022319.276
2004-01-01,Indonesia,Southeast Asia,3130625.197
2005-01-01,Indonesia,Southeast Asia,3227079.705
2006-01-01,Indonesia,Southeast Asia,3317003.302
2007-01-01,Indonesia,Southeast Asia,3399272.843
2008-01-01,Indonesia,Southeast Asia,3464664.899
2009-01-01,Indonesia,Southeast Asia,3517865.455
2010-01-01,Indonesia,Southeast Asia,3550576.921
2011-01-01,Indonesia,Southeast Asia,3564422.611
2012-01-01,Indonesia,Southeast Asia,3566694.993
2013-01-01,Indonesia,Southeast Asia,3554908.199
2014-01-01,Indonesia,Southeast Asia,3528416.079
2015-01-01,Indonesia,Southeast Asia,3496450.694
2016-01-01,Indonesia,Southeast Asia,3463811.857
2017-01-01,Indonesia,Southeast Asia,3449155.128
2018-01-01,Indonesia,Southeast Asia,3452683.998
2019-01-01,Indonesia,Southeast Asia,3461279.123
1990-01-01,Lao People's Democratic Republic,Southeast Asia,59572.21149
1991-01-01,Lao People's Democratic Republic,Southeast Asia,60194.07345
1992-01-01,Lao People's Democratic Republic,Southeast Asia,61056.61828
1993-01-01,Lao People's Democratic Republic,Southeast Asia,62120.22896
1994-01-01,Lao People's Democratic Republic,Southeast Asia,63429.088
1995-01-01,Lao People's Democratic Republic,Southeast Asia,64808.16653
1996-01-01,Lao People's Democratic Republic,Southeast Asia,66415.03614
1997-01-01,Lao People's Democratic Republic,Southeast Asia,68114.96924
1998-01-01,Lao People's Democratic Republic,Southeast Asia,69965.19568
1999-01-01,Lao People's Democratic Republic,Southeast Asia,71946.79928
2000-01-01,Lao People's Democratic Republic,Southeast Asia,74065.29295
2001-01-01,Lao People's Democratic Republic,Southeast Asia,76316.71706
2002-01-01,Lao People's Democratic Republic,Southeast Asia,78723.8912
2003-01-01,Lao People's Democratic Republic,Southeast Asia,81320.17283
2004-01-01,Lao People's Democratic Republic,Southeast Asia,84332.46954
2005-01-01,Lao People's Democratic Republic,Southeast Asia,87734.17766
2006-01-01,Lao People's Democratic Republic,Southeast Asia,91398.26362
2007-01-01,Lao People's Democratic Republic,Southeast Asia,95977.65779
2008-01-01,Lao People's Democratic Republic,Southeast Asia,100943.0447
2009-01-01,Lao People's Democratic Republic,Southeast Asia,106240.6184
2010-01-01,Lao People's Democratic Republic,Southeast Asia,111825.6058
2011-01-01,Lao People's Democratic Republic,Southeast Asia,117629.4564
2012-01-01,Lao People's Democratic Republic,Southeast Asia,123300.2822
2013-01-01,Lao People's Democratic Republic,Southeast Asia,129217.765
2014-01-01,Lao People's Democratic Republic,Southeast Asia,135368.217
2015-01-01,Lao People's Democratic Republic,Southeast Asia,141601.3337
2016-01-01,Lao People's Democratic Republic,Southeast Asia,146639.1051
2017-01-01,Lao People's Democratic Republic,Southeast Asia,151646.6198
2018-01-01,Lao People's Democratic Republic,Southeast Asia,156764.5913
2019-01-01,Lao People's Democratic Republic,Southeast Asia,161763.9905
1990-01-01,Malaysia,Southeast Asia,237961.5478
1991-01-01,Malaysia,Southeast Asia,245838.3961
1992-01-01,Malaysia,Southeast Asia,254579.4212
1993-01-01,Malaysia,Southeast Asia,264088.302
1994-01-01,Malaysia,Southeast Asia,274114.6113
1995-01-01,Malaysia,Southeast Asia,284279.4806
1996-01-01,Malaysia,Southeast Asia,295334.7851
1997-01-01,Malaysia,Southeast Asia,306506.3367
1998-01-01,Malaysia,Southeast Asia,317533.9344
1999-01-01,Malaysia,Southeast Asia,328493.1824
2000-01-01,Malaysia,Southeast Asia,338952.6949
2001-01-01,Malaysia,Southeast Asia,348118.7139
2002-01-01,Malaysia,Southeast Asia,355434.0779
2003-01-01,Malaysia,Southeast Asia,361302.0172
2004-01-01,Malaysia,Southeast Asia,366499.0082
2005-01-01,Malaysia,Southeast Asia,370442.2929
2006-01-01,Malaysia,Southeast Asia,372664.7146
2007-01-01,Malaysia,Southeast Asia,373086.2138
2008-01-01,Malaysia,Southeast Asia,371829.2202
2009-01-01,Malaysia,Southeast Asia,369415.5667
2010-01-01,Malaysia,Southeast Asia,365563.6663
2011-01-01,Malaysia,Southeast Asia,361172.2117
2012-01-01,Malaysia,Southeast Asia,360540.2662
2013-01-01,Malaysia,Southeast Asia,359259.5805
2014-01-01,Malaysia,Southeast Asia,357802.8238
2015-01-01,Malaysia,Southeast Asia,356860.928
2016-01-01,Malaysia,Southeast Asia,356496.6378
2017-01-01,Malaysia,Southeast Asia,357029.1828
2018-01-01,Malaysia,Southeast Asia,358607.8429
2019-01-01,Malaysia,Southeast Asia,360636.0776
1990-01-01,Maldives,Southeast Asia,4006.939067
1991-01-01,Maldives,Southeast Asia,4119.757532
1992-01-01,Maldives,Southeast Asia,4233.693302
1993-01-01,Maldives,Southeast Asia,4352.617371
1994-01-01,Maldives,Southeast Asia,4491.980363
1995-01-01,Maldives,Southeast Asia,4648.489504
1996-01-01,Maldives,Southeast Asia,4820.986945
1997-01-01,Maldives,Southeast Asia,4998.147825
1998-01-01,Maldives,Southeast Asia,5173.184103
1999-01-01,Maldives,Southeast Asia,5338.048919
2000-01-01,Maldives,Southeast Asia,5503.169251
2001-01-01,Maldives,Southeast Asia,5672.420282
2002-01-01,Maldives,Southeast Asia,5849.895738
2003-01-01,Maldives,Southeast Asia,6039.943919
2004-01-01,Maldives,Southeast Asia,6239.393301
2005-01-01,Maldives,Southeast Asia,6404.932242
2006-01-01,Maldives,Southeast Asia,6576.790447
2007-01-01,Maldives,Southeast Asia,6769.723142
2008-01-01,Maldives,Southeast Asia,6963.366878
2009-01-01,Maldives,Southeast Asia,7171.286078
2010-01-01,Maldives,Southeast Asia,7413.589342
2011-01-01,Maldives,Southeast Asia,7664.446612
2012-01-01,Maldives,Southeast Asia,7976.343699
2013-01-01,Maldives,Southeast Asia,8248.910867
2014-01-01,Maldives,Southeast Asia,8539.352526
2015-01-01,Maldives,Southeast Asia,8848.785191
2016-01-01,Maldives,Southeast Asia,9182.250976
2017-01-01,Maldives,Southeast Asia,9539.455338
2018-01-01,Maldives,Southeast Asia,9918.308504
2019-01-01,Maldives,Southeast Asia,10308.2601
1990-01-01,Myanmar,Southeast Asia,1753926.414
1991-01-01,Myanmar,Southeast Asia,1767244.379
1992-01-01,Myanmar,Southeast Asia,1780699.038
1993-01-01,Myanmar,Southeast Asia,1794395.355
1994-01-01,Myanmar,Southeast Asia,1808647.221
1995-01-01,Myanmar,Southeast Asia,1823126.626
1996-01-01,Myanmar,Southeast Asia,1841096.074
1997-01-01,Myanmar,Southeast Asia,1858432.936
1998-01-01,Myanmar,Southeast Asia,1873599.069
1999-01-01,Myanmar,Southeast Asia,1887656.267
2000-01-01,Myanmar,Southeast Asia,1890305.956
2001-01-01,Myanmar,Southeast Asia,1894921.875
2002-01-01,Myanmar,Southeast Asia,1886219.041
2003-01-01,Myanmar,Southeast Asia,1870744.677
2004-01-01,Myanmar,Southeast Asia,1833958.022
2005-01-01,Myanmar,Southeast Asia,1795664.536
2006-01-01,Myanmar,Southeast Asia,1754841.147
2007-01-01,Myanmar,Southeast Asia,1715035.604
2008-01-01,Myanmar,Southeast Asia,1677589.941
2009-01-01,Myanmar,Southeast Asia,1647227.93
2010-01-01,Myanmar,Southeast Asia,1631183.493
2011-01-01,Myanmar,Southeast Asia,1622392.182
2012-01-01,Myanmar,Southeast Asia,1624790.154
2013-01-01,Myanmar,Southeast Asia,1623733.236
2014-01-01,Myanmar,Southeast Asia,1632443.867
2015-01-01,Myanmar,Southeast Asia,1642216.972
2016-01-01,Myanmar,Southeast Asia,1668190.407
2017-01-01,Myanmar,Southeast Asia,1696966.764
2018-01-01,Myanmar,Southeast Asia,1730626.501
2019-01-01,Myanmar,Southeast Asia,1766959.202
1990-01-01,Philippines,Southeast Asia,2214973.74
1991-01-01,Philippines,Southeast Asia,2276136.779
1992-01-01,Philippines,Southeast Asia,2338263.378
1993-01-01,Philippines,Southeast Asia,2401581.044
1994-01-01,Philippines,Southeast Asia,2465363.532
1995-01-01,Philippines,Southeast Asia,2529612.122
1996-01-01,Philippines,Southeast Asia,2595696.133
1997-01-01,Philippines,Southeast Asia,2662282.622
1998-01-01,Philippines,Southeast Asia,2729491.388
1999-01-01,Philippines,Southeast Asia,2796518.229
2000-01-01,Philippines,Southeast Asia,2862335.894
2001-01-01,Philippines,Southeast Asia,2923662.031
2002-01-01,Philippines,Southeast Asia,2983052.591
2003-01-01,Philippines,Southeast Asia,3038594.192
2004-01-01,Philippines,Southeast Asia,3075033.405
2005-01-01,Philippines,Southeast Asia,3106945.38
2006-01-01,Philippines,Southeast Asia,3128208.379
2007-01-01,Philippines,Southeast Asia,3143539.717
2008-01-01,Philippines,Southeast Asia,3144082.409
2009-01-01,Philippines,Southeast Asia,3138365.32
2010-01-01,Philippines,Southeast Asia,3125814.299
2011-01-01,Philippines,Southeast Asia,3100718.348
2012-01-01,Philippines,Southeast Asia,3069681.437
2013-01-01,Philippines,Southeast Asia,3036625.026
2014-01-01,Philippines,Southeast Asia,3012586.338
2015-01-01,Philippines,Southeast Asia,2993551.652
2016-01-01,Philippines,Southeast Asia,2982376.171
2017-01-01,Philippines,Southeast Asia,2983337.624
2018-01-01,Philippines,Southeast Asia,3003705.649
2019-01-01,Philippines,Southeast Asia,3032422.351
1990-01-01,Sri Lanka,Southeast Asia,172411.8764
1991-01-01,Sri Lanka,Southeast Asia,172497.299
1992-01-01,Sri Lanka,Southeast Asia,172562.4207
1993-01-01,Sri Lanka,Southeast Asia,172580.7214
1994-01-01,Sri Lanka,Southeast Asia,172577.9582
1995-01-01,Sri Lanka,Southeast Asia,172158.0503
1996-01-01,Sri Lanka,Southeast Asia,171261.011
1997-01-01,Sri Lanka,Southeast Asia,169757.335
1998-01-01,Sri Lanka,Southeast Asia,167715.2191
1999-01-01,Sri Lanka,Southeast Asia,165262.6179
2000-01-01,Sri Lanka,Southeast Asia,162446.1768
2001-01-01,Sri Lanka,Southeast Asia,159552.0012
2002-01-01,Sri Lanka,Southeast Asia,156506.0234
2003-01-01,Sri Lanka,Southeast Asia,154344.7034
2004-01-01,Sri Lanka,Southeast Asia,151301.9644
2005-01-01,Sri Lanka,Southeast Asia,148493.2684
2006-01-01,Sri Lanka,Southeast Asia,146199.0505
2007-01-01,Sri Lanka,Southeast Asia,146813.3247
2008-01-01,Sri Lanka,Southeast Asia,147712.6185
2009-01-01,Sri Lanka,Southeast Asia,149022.1024
2010-01-01,Sri Lanka,Southeast Asia,150577.2021
2011-01-01,Sri Lanka,Southeast Asia,152306.2539
2012-01-01,Sri Lanka,Southeast Asia,152914.1304
2013-01-01,Sri Lanka,Southeast Asia,153838.3361
2014-01-01,Sri Lanka,Southeast Asia,155150.504
2015-01-01,Sri Lanka,Southeast Asia,156349.636
2016-01-01,Sri Lanka,Southeast Asia,157554.6555
2017-01-01,Sri Lanka,Southeast Asia,158755.6191
2018-01-01,Sri Lanka,Southeast Asia,159911.222
2019-01-01,Sri Lanka,Southeast Asia,161206.8732
1990-01-01,Thailand,Southeast Asia,1214458.322
1991-01-01,Thailand,Southeast Asia,1241042.667
1992-01-01,Thailand,Southeast Asia,1261790.246
1993-01-01,Thailand,Southeast Asia,1279042.0
1994-01-01,Thailand,Southeast Asia,1298109.295
1995-01-01,Thailand,Southeast Asia,1314226.424
1996-01-01,Thailand,Southeast Asia,1327608.279
1997-01-01,Thailand,Southeast Asia,1328652.013
1998-01-01,Thailand,Southeast Asia,1326045.521
1999-01-01,Thailand,Southeast Asia,1318711.002
2000-01-01,Thailand,Southeast Asia,1301827.104
2001-01-01,Thailand,Southeast Asia,1283313.611
2002-01-01,Thailand,Southeast Asia,1257704.085
2003-01-01,Thailand,Southeast Asia,1231812.092
2004-01-01,Thailand,Southeast Asia,1211891.022
2005-01-01,Thailand,Southeast Asia,1193367.001
2006-01-01,Thailand,Southeast Asia,1188564.102
2007-01-01,Thailand,Southeast Asia,1197421.875
2008-01-01,Thailand,Southeast Asia,1193351.262
2009-01-01,Thailand,Southeast Asia,1169927.616
2010-01-01,Thailand,Southeast Asia,1156848.883
2011-01-01,Thailand,Southeast Asia,1152430.045
2012-01-01,Thailand,Southeast Asia,1148557.903
2013-01-01,Thailand,Southeast Asia,1143074.288
2014-01-01,Thailand,Southeast Asia,1135805.097
2015-01-01,Thailand,Southeast Asia,1128727.367
2016-01-01,Thailand,Southeast Asia,1122764.246
2017-01-01,Thailand,Southeast Asia,1119132.866
2018-01-01,Thailand,Southeast Asia,1124182.82
2019-01-01,Thailand,Southeast Asia,1131528.861
