date,name,category,value
1990,Afghanistan,South Asia,33006.3388
1991,Afghanistan,South Asia,37383.30729
1992,Afghanistan,South Asia,44365.25615
1993,Afghanistan,South Asia,50238.47594
1994,Afghanistan,South Asia,54130.87718
1995,Afghanistan,South Asia,58205.60692
1996,Afghanistan,South Asia,62692.489
1997,Afghanistan,South Asia,67292.67982
1998,Afghanistan,South Asia,70601.0203
1999,Afghanistan,South Asia,73531.68383
2000,Afghanistan,South Asia,77469.45831
2001,Afghanistan,South Asia,84259.01024
2002,Afghanistan,South Asia,94232.53445
2003,Afghanistan,South Asia,103929.0836
2004,Afghanistan,South Asia,113947.4178
2005,Afghanistan,South Asia,124747.5846
2006,Afghanistan,South Asia,134989.2743
2007,Afghanistan,South Asia,147491.9287
2008,Afghanistan,South Asia,161307.165
2009,Afghanistan,South Asia,174623.9847
2010,Afghanistan,South Asia,189625.6622
2011,Afghanistan,South Asia,204911.6452
2012,Afghanistan,South Asia,218690.1675
2013,Afghanistan,South Asia,231902.8725
2014,Afghanistan,South Asia,243774.1195
2015,Afghanistan,South Asia,255176.2975
2016,Afghanistan,South Asia,265324.2668
2017,Afghanistan,South Asia,274911.42
2018,Afghanistan,South Asia,283073.1707
2019,Afghanistan,South Asia,290064.3393
1990,Bangladesh,South Asia,647955.5006
1991,Bangladesh,South Asia,651400.2125
1992,Bangladesh,South Asia,658787.2798
1993,Bangladesh,South Asia,668537.0777
1994,Bangladesh,South Asia,679333.7595
1995,Bangladesh,South Asia,689398.9005
1996,Bangladesh,South Asia,693372.5292
1997,Bangladesh,South Asia,695755.3086
1998,Bangladesh,South Asia,697977.4762
1999,Bangladesh,South Asia,701225.9327
2000,Bangladesh,South Asia,706427.92
2001,Bangladesh,South Asia,714417.0546
2002,Bangladesh,South Asia,725205.7458
2003,Bangladesh,South Asia,747031.3811
2004,Bangladesh,South Asia,767222.3238
2005,Bangladesh,South Asia,788393.0693
2006,Bangladesh,South Asia,810708.2134
2007,Bangladesh,South Asia,836048.2274
2008,Bangladesh,South Asia,863882.1393
2009,Bangladesh,South Asia,893610.4674
2010,Bangladesh,South Asia,923575.5277
2011,Bangladesh,South Asia,954603.2139
2012,Bangladesh,South Asia,983531.7004
2013,Bangladesh,South Asia,1010468.141
2014,Bangladesh,South Asia,1034036.811
2015,Bangladesh,South Asia,1058364.451
2016,Bangladesh,South Asia,1082767.692
2017,Bangladesh,South Asia,1107871.115
2018,Bangladesh,South Asia,1135038.764
2019,Bangladesh,South Asia,1163386.225
1990,Bhutan,South Asia,9056.699758
1991,Bhutan,South Asia,8753.404729
1992,Bhutan,South Asia,8574.163853
1993,Bhutan,South Asia,8566.038874
1994,Bhutan,South Asia,8637.760943
1995,Bhutan,South Asia,8749.706013
1996,Bhutan,South Asia,8873.535747
1997,Bhutan,South Asia,9004.260922
1998,Bhutan,South Asia,9108.832612
1999,Bhutan,South Asia,9192.503107
2000,Bhutan,South Asia,9269.207209
2001,Bhutan,South Asia,9341.259031
2002,Bhutan,South Asia,9426.712463
2003,Bhutan,South Asia,9525.908798
2004,Bhutan,South Asia,9628.829411
2005,Bhutan,South Asia,9788.456482
2006,Bhutan,South Asia,9998.447405
2007,Bhutan,South Asia,10271.71533
2008,Bhutan,South Asia,10615.78754
2009,Bhutan,South Asia,11016.81729
2010,Bhutan,South Asia,11424.01669
2011,Bhutan,South Asia,11829.32451
2012,Bhutan,South Asia,12172.51683
2013,Bhutan,South Asia,12346.94901
2014,Bhutan,South Asia,12472.81542
2015,Bhutan,South Asia,12651.29842
2016,Bhutan,South Asia,12806.56545
2017,Bhutan,South Asia,12867.7034
2018,Bhutan,South Asia,12935.43872
2019,Bhutan,South Asia,12998.69181
1990,India,South Asia,10660761.43
1991,India,South Asia,10845988.0
1992,India,South Asia,11022637.8
1993,India,South Asia,11200408.64
1994,India,South Asia,11409274.16
1995,India,South Asia,11634817.18
1996,India,South Asia,11880751.83
1997,India,South Asia,12141057.59
1998,India,South Asia,12379247.12
1999,India,South Asia,12636872.88
2000,India,South Asia,12915869.41
2001,India,South Asia,13215114.33
2002,India,South Asia,13528106.84
2003,India,South Asia,13853957.53
2004,India,South Asia,14173583.29
2005,India,South Asia,14479868.25
2006,India,South Asia,14762591.97
2007,India,South Asia,15030670.38
2008,India,South Asia,15098648.82
2009,India,South Asia,15215379.28
2010,India,South Asia,15320234.05
2011,India,South Asia,15403035.4
2012,India,South Asia,15412934.39
2013,India,South Asia,15258535.43
2014,India,South Asia,15099776.2
2015,India,South Asia,14922995.11
2016,India,South Asia,14884900.49
2017,India,South Asia,14851814.09
2018,India,South Asia,14840738.72
2019,India,South Asia,14854153.14
1990,Nepal,South Asia,1396713.771
1991,Nepal,South Asia,1445646.647
1992,Nepal,South Asia,1494518.932
1993,Nepal,South Asia,1543676.256
1994,Nepal,South Asia,1593563.226
1995,Nepal,South Asia,1643653.699
1996,Nepal,South Asia,1692890.115
1997,Nepal,South Asia,1739881.938
1998,Nepal,South Asia,1783703.477
1999,Nepal,South Asia,1823075.149
2000,Nepal,South Asia,1856610.746
2001,Nepal,South Asia,1871200.034
2002,Nepal,South Asia,1871564.955
2003,Nepal,South Asia,1862173.35
2004,Nepal,South Asia,1832098.616
2005,Nepal,South Asia,1792973.386
2006,Nepal,South Asia,1747465.109
